"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-3.21352987085496,1.0842022769283,-2.96395786952168,0.00303709864586535
"2","Length",0.00239780734710982,0.00112149511393265,2.13804529089889,0.032513067531841
"3","Type_Hm",0.637517078615626,0.447697237682429,1.4239915392729,0.154448921270057
"4","Guests",-0.245842977093693,0.113862221811547,-2.1591268217178,0.0308403293168661
"5","ZestimateK",-0.000944143822719555,0.00272998533671185,-0.345842085678283,0.729461394712026
"6","ListPrice",-0.000758804948948432,0.00363551539137469,-0.208720048538017,0.834666788355767
"7","Rating",0.694638678187516,0.172825060830002,4.01931684474159,0.0000583671347893824
"8","Rev_AbB",0.00207374204943363,0.000844564838284054,2.45539709378259,0.014072903851661
"9","Loc_1",-0.0345854947699121,0.493991673202852,-0.0700123031339234,0.944183867183508
"10","Loc_2",0.984215065226035,0.526519446312371,1.86928530773035,0.0615831311025413
"11","Loc_3",0.961858560482518,0.5777260855471,1.66490415535184,0.0959318790676899
"12","Loc_4",1.01634373228502,0.522184372281252,1.94633119303236,0.0516149689386537
"13","Loc_5",0.888753656668873,0.534998985935699,1.66122493693043,0.0966682790490953
