country_code,country_name,continent,time,accounts,governance,educ,openess,compulsory_education,air_freight,press_freedom
AFG,Afghanistan,Asia,1998,38.66,-4.712896006999232,0.211993131955724,60.2081215044483,6,10.872370734529454,174
ALB,Albania,Europe,1998,10.31,-1.6938264106700234,0.05198556092319166,48.1375348189416,8,9.961756460660103,119
DZA,Algeria,Africa,1998,51.63,-2.8495795157962682,0.14123800795759794,45.0944505585079,10,15.033918670086466,151
ASM,American Samoa,Oceania,1998,99.75,0.8590780553203782,0.8857692137132537,145.5280997157227,9,10.934837251860303,141
AND,Andorra,Europe,1998,68.49,3.1944882845694282,0.8853237123941653,71.7367643146617,10,15.06732869288696,3.5
AGO,Angola,Africa,1998,15.34,-3.6382747928362402,0.5004591715384089,343.36206533974405,4,13.222932432326024,179
ATG,Antigua and Barbuda,Americas,1998,87.52,1.8042872977133522,1.018916909888503,195.1435462696286,11,14.034806717549591,21
ARG,Argentina,Americas,1998,37.99,0.2990439659217507,0.7492125928358107,23.3500279730689,10,15.94926271234492,2.83
ARM,Armenia,Asia,1998,23.49,-1.298654954779549,0.30535605068074595,71.8424518815414,11,12.808474212783374,31.25
ABW,Aruba,Americas,1998,38.2,-0.9685044472511598,0.16329388123079067,163.2673599463268,13,12.419540201469943,74.75
AUS,Australia,Oceania,1998,99.98,3.720464452289244,0.8892637073363773,39.9940599436543,10,17.222878860270093,0.5
AUT,Austria,Europe,1998,97.55,3.780217723327074,0.9837660165005446,76.9271493915784,9,15.585620695787274,84.72
AZE,Azerbaijan,Asia,1998,25.31,-2.545064831592126,0.1965126825328125,77.22780910306341,9,13.414137067759363,27
BHS,"Bahamas, The",Americas,1998,99.01,2.877252540642946,1.1233437409777134,77.7261671656994,12,13.460263166016727,92.37
BHR,Bahrain,Asia,1998,80.63,0.319152252671553,0.8808512086461512,128.4891015440196,9,14.003648500079668,68.09
BGD,Bangladesh,Asia,1998,41.33,-1.5724154491021365,0.62479851869755,27.880063402839298,5,13.95744405385294,155
BRB,Barbados,Americas,1998,78.14,3.1869487300634307,0.3121988482045375,88.0444758206848,11,14.137594057133388,92.07
BLR,Belarus,Europe,1998,35.71,-1.6619598550812187,0.18319656254528835,122.9576977359893,9,12.326075437924871,81.46
BEL,Belgium,Europe,1998,97.14,3.1288810038239987,0.9572032180608998,124.7091226263176,12,15.984381384470534,83.59
BLZ,Belize,Americas,1998,39.94,0.7352040957637664,0.43104457011284186,86.7067833698031,8,13.74894758901436,49
BEN,Benin,Africa,1998,20.7,-0.048694995426570575,0.5061633854112071,59.593625298143294,6,11.413105129688017,3
BMU,Bermuda,Americas,1998,83.09,2.891913728532515,0.23314983609906678,94.83576408799641,13,14.137594057133388,-10
BTN,Bhutan,Asia,1998,37.09,0.24641625036338244,0.33145678839402193,85.5831350923996,9,10.494048144320972,71.33
BOL,Bolivia,Americas,1998,66.17,-0.23403827277444103,1.0166913972585119,52.2811629581227,8,14.564801749142259,146
BIH,Bosnia and Herzegovina,Europe,1998,10.05,-1.6487990260037755,0.11314156508751336,125.6666090570109,8,10.81777628173961,33
BWA,Botswana,Africa,1998,35.85,1.769933376540579,0.7341302768195553,101.8410393202924,8,11.72561455838058,78.97
BRA,Brazil,Americas,1998,93.98,-0.04102842732269882,0.2719542613439836,16.43858493120591,8,17.15096335815706,-1
VGB,British Virgin Islands,Americas,1998,3.76,0.25599002439366875,0.05198556092319166,114.0257748497836,12,14.137594057133388,14.5
BRN,Brunei Darussalam,Asia,1998,80.78,1.2341981731569718,0.5004591715384089,107.87610619469021,9,13.684034195175888,74.83
BGR,Bulgaria,Europe,1998,92.97,0.22786441042348463,0.8879518553516301,77.0452030340999,9,13.626406048873488,170
BFA,Burkina Faso,Africa,1998,48.52,-1.0614948560538715,0.5963508624685294,40.9397835752561,10,11.52879881412652,16.17
BDI,Burundi,Africa,1998,15.58,-3.6541115551428396,0.3420042128420566,27.44002998500753,8,9.392661928770137,63.21
CPV,Cabo Verde,Africa,1998,54.09,1.5283533315180318,0.24125689540408407,81.8814137506275,6,12.372010723073604,71.36
KHM,Cambodia,Asia,1998,37.32,-2.1765780107736012,0.19594470265822825,75.6194730028848,9,12.637147019144757,47.18
CMR,Cameroon,Africa,1998,35.42,-2.50470083333391,0.25197156361875883,42.2946538344074,6,12.535016615730594,78
CAN,Canada,Americas,1998,98.64,3.969456954236051,0.879635640087972,78.0811853628611,10,17.020421323731966,8
CYM,Cayman Islands,Americas,1998,93.28,3.292702619072923,0.2959107076649348,137.1271482342658,12,14.137594057133388,2
CAF,Central African Republic,Africa,1998,14.81,-2.632477751985728,0.12144496497652432,51.0495318767161,10,11.413105129688017,73.59
TCD,Chad,Africa,1998,39.78,-2.719708077775983,0.1280045375696271,48.0589828951249,6,11.49272275765271,115
CHL,Chile,Americas,1998,93.76,2.291439858555089,0.915430412163252,53.8361785153283,8,15.454468436934366,8
CHN,China,Asia,1998,83.09,-1.2801249851286975,0.7710162264796344,32.424304625381396,9,17.79020784792024,40
COL,Colombia,Americas,1998,92.28,-1.5369808748736713,0.848801112077414,35.9089230535138,10,16.044416817480656,146
COM,Comoros,Africa,1998,45.09,-1.9016220104067185,0.2844847965189658,35.75725007175263,6,12.534455233768249,31
COD,"Congo, Dem. Rep.",Africa,1998,38.66,-4.784484817166547,0.17683878061639344,62.6793067265869,6,13.030248088496522,162
COG,"Congo, Rep.",Africa,1998,10.55,-3.3670625032305606,0.17777911853484835,148.9016624641335,10,12.392137188602963,132
