"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.43577464177143,0.485505924808824,0.897568123278875,0.369415839770939
"2","Price",-0.00408787440928894,0.00478098208460519,-0.855028179764976,0.392535547478388
"3","Warranty",0.000943450464687326,0.00239494968084181,0.393933314020906,0.693630273927401
"4","Delivery_Time",-0.189887045321884,0.0138488847277708,-13.71136008816,0.000000000000000000000000000000000000000000868150632962894
"5","Sales_Support",0.068906432384625,0.021505112696813,3.20418838794724,0.00135443819903112
"6","Industry_Group_Ele",-0.483456917635141,0.177014185372781,-2.73117612928597,0.00631087347823738
"7","Industry_Group_Cons",-0.150114173085639,0.184231467153185,-0.814812884059713,0.415179424846569
"8","Firm_Size",0.0128528072696237,0.00319747355292327,4.0196758649882,0.0000582782654389536
"9","Buying_Center",0.335572249760477,0.0967102197367722,3.46987371834997,0.000520703117419668
