month,year,period,full_date
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
December,dic_2013,"1 December, dic_2013",2013-12-01
March,mar_2014,"1 March, mar_2014",2014-03-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2015,"1 March, march_2015",2015-03-01
June,june_2015,"1 June, june_2015",2015-06-01
September,sept_2015,"1 September, sept_2015",2015-09-01
December,dec_2015,"1 December, dec_2015",2015-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
